date,province,value,sector,department
2013-01-01,Anhui,7.054573525533262,Manure management,Livestock
2013-01-01,Zhejiang,2.4660855924507428,Manure management,Livestock
2013-01-01,Yunnan,11.064988518910576,Manure management,Livestock
2013-01-01,Xinjiang,1.1929785480776969,Manure management,Livestock
2013-01-01,Tibet,0.25577517837169145,Manure management,Livestock
2013-01-01,Tianjin,0.8789023221519092,Manure management,Livestock
2013-01-01,Sichuan,16.36525383393211,Manure management,Livestock
2013-01-01,Shanxi,2.0531076802527597,Manure management,Livestock
2013-01-01,Shanghai,0.7995164237670485,Manure management,Livestock
2013-01-01,Shaanxi,3.317792706247923,Manure management,Livestock
2013-01-01,Qinghai,7.406763126397059,Manure management,Livestock
2013-01-01,Ningxia,0.3410573338682202,Manure management,Livestock
2013-01-01,Liaoning,6.4396814948259715,Manure management,Livestock
2013-01-01,Jilin,4.602731556827957,Manure management,Livestock
2013-01-01,Jiangxi,8.634803219911229,Manure management,Livestock
2013-01-01,Shandong,12.5636391379499,Manure management,Livestock
2013-01-01,Inner Mongolia,2.7164856659503847,Manure management,Livestock
2013-01-01,Jiangsu,8.074273359093322,Manure management,Livestock
2013-01-01,Chongqing,4.999449247796185,Manure management,Livestock
2013-01-01,Fujian,4.2197981829417985,Manure management,Livestock
2013-01-01,Gansu,1.9812283350769422,Manure management,Livestock
2013-01-01,Guangdong,10.671404570625691,Manure management,Livestock
2013-01-01,Guangxi,10.750782050822135,Manure management,Livestock
2013-01-01,Guizhou,4.850065165999545,Manure management,Livestock
2013-01-01,Beijing,1.0591662274489118,Manure management,Livestock
2013-01-01,Hebei,10.028114405875332,Manure management,Livestock
2013-01-01,Heilongjiang,6.79555998424132,Manure management,Livestock
2013-01-01,Henan,16.651706233005843,Manure management,Livestock
2013-01-01,Hubei,11.231144385820569,Manure management,Livestock
2013-01-01,Hunan,14.512056333097393,Manure management,Livestock
2013-01-01,Hainan,2.3193561583012,Manure management,Livestock
2013-02-01,Jiangxi,8.705969828350609,Manure management,Livestock
2013-02-01,Jilin,4.6043763723793845,Manure management,Livestock
2013-02-01,Liaoning,6.444733326030894,Manure management,Livestock
2013-02-01,Ningxia,0.3418400600383432,Manure management,Livestock
2013-02-01,Qinghai,7.425777926574778,Manure management,Livestock
2013-02-01,Shaanxi,3.328597240038109,Manure management,Livestock
2013-02-01,Shanghai,0.8039775836599169,Manure management,Livestock
2013-02-01,Tianjin,0.880512507081013,Manure management,Livestock
2013-02-01,Sichuan,16.40510042823727,Manure management,Livestock
2013-02-01,Tibet,0.25588293048851485,Manure management,Livestock
2013-02-01,Xinjiang,1.1940734806912854,Manure management,Livestock
2013-02-01,Yunnan,11.233103751073386,Manure management,Livestock
2013-02-01,Zhejiang,2.481727512577441,Manure management,Livestock
2013-02-01,Shanxi,2.0570296901984895,Manure management,Livestock
2013-02-01,Jiangsu,8.110221334734376,Manure management,Livestock
2013-02-01,Shandong,12.612410478515311,Manure management,Livestock
2013-02-01,Hunan,14.699722103129053,Manure management,Livestock
2013-02-01,Beijing,1.060871023298281,Manure management,Livestock
2013-02-01,Chongqing,5.035831757854738,Manure management,Livestock
2013-02-01,Fujian,4.265264776841576,Manure management,Livestock
2013-02-01,Gansu,1.9835859303405692,Manure management,Livestock
2013-02-01,Guangdong,10.915228386510043,Manure management,Livestock
2013-02-01,Guangxi,10.920113928870371,Manure management,Livestock
2013-02-01,Anhui,7.091347295253722,Manure management,Livestock
2013-02-01,Inner Mongolia,2.7177973450593442,Manure management,Livestock
2013-02-01,Hainan,2.3387705062134203,Manure management,Livestock
2013-02-01,Hebei,10.049686758055993,Manure management,Livestock
2013-02-01,Heilongjiang,6.796375182705981,Manure management,Livestock
2013-02-01,Henan,16.751258111246667,Manure management,Livestock
2013-02-01,Hubei,11.33375497091514,Manure management,Livestock
2013-02-01,Guizhou,4.883903989440638,Manure management,Livestock
2013-03-01,Jilin,4.609057608900836,Manure management,Livestock
2013-03-01,Liaoning,6.461279180947158,Manure management,Livestock
2013-03-01,Ningxia,0.3442768796475,Manure management,Livestock
2013-03-01,Qinghai,7.539439153241206,Manure management,Livestock
2013-03-01,Shaanxi,3.3575451102279987,Manure management,Livestock
2013-03-01,Shandong,12.758792625842378,Manure management,Livestock
2013-03-01,Zhejiang,2.521607438952984,Manure management,Livestock
2013-03-01,Shanxi,2.069212749358577,Manure management,Livestock
2013-03-01,Sichuan,16.64471143038335,Manure management,Livestock
2013-03-01,Tibet,0.25638111641949424,Manure management,Livestock
2013-03-01,Xinjiang,1.1981451944301926,Manure management,Livestock
2013-03-01,Yunnan,11.85467945730826,Manure management,Livestock
2013-03-01,Jiangxi,8.901225322972035,Manure management,Livestock
2013-03-01,Shanghai,0.8141655104098342,Manure management,Livestock
2013-03-01,Tianjin,0.8857960125826382,Manure management,Livestock
2013-03-01,Jiangsu,8.198644785058589,Manure management,Livestock
2013-03-01,Hunan,15.023593663495035,Manure management,Livestock
2013-03-01,Inner Mongolia,2.721614867874931,Manure management,Livestock
2013-03-01,Anhui,7.177091630143988,Manure management,Livestock
2013-03-01,Beijing,1.065073623901826,Manure management,Livestock
2013-03-01,Chongqing,6.206523229055161,Manure management,Livestock
2013-03-01,Gansu,1.9928050466271605,Manure management,Livestock
2013-03-01,Guangdong,13.884268267435951,Manure management,Livestock
2013-03-01,Fujian,4.396191371487765,Manure management,Livestock
2013-03-01,Guizhou,4.995884218093344,Manure management,Livestock
2013-03-01,Hainan,2.868880864784132,Manure management,Livestock
2013-03-01,Hebei,10.106963500516468,Manure management,Livestock
2013-03-01,Heilongjiang,6.800294672780836,Manure management,Livestock
2013-03-01,Henan,17.024480780835194,Manure management,Livestock
2013-03-01,Hubei,11.533671274452049,Manure management,Livestock
2013-03-01,Guangxi,11.551658283209402,Manure management,Livestock
2013-04-01,Shaanxi,3.4871940695779,Manure management,Livestock
2013-04-01,Jilin,4.640392631270247,Manure management,Livestock
2013-04-01,Liaoning,6.5374572059356675,Manure management,Livestock
2013-04-01,Ningxia,0.3570032494960407,Manure management,Livestock
2013-04-01,Qinghai,7.816011383327982,Manure management,Livestock
2013-04-01,Shanghai,1.0098235879383888,Manure management,Livestock
